"ID";"global_id";"FullName";"ShortName";"INN";"OKPO";"AdmArea";"District";"Address";"Category";"Specialization";"OKVED";"OKVED_Description";"ID_en";"FullName_en";"ShortName_en";"INN_en";"OKPO_en";"AdmArea_en";"District_en";"Address_en";"Category_en";"Specialization_en";"OKVED_en";"OKVED_Description_en";"geodata_center";"geoarea";
"Локальный идентификатор";"global_id";"Полное официальное наименование";"Сокращенное наименование";"ИНН";"ОКПО";"Административный округ";"Район";"Адрес";"Категория";"Отрасль";"ОКВЭД";"Расшифровка вида деятельности по ОКВЭД";"ID_en";"FullName_en";"ShortName_en";"INN_en";"OKPO_en";"AdmArea_en";"District_en";"Address_en";"Category_en";"Specialization_en";"OKVED_en";"OKVED_Description_en";"geodata_center";"geoarea";
"1";"169195889";"Открытое акционерное общество «ИКМА»";"ОАО «ИКМА»";"7711037272";"11306676";"Северный административный округ";"район Западное Дегунино";"Ижорская улица, дом 3";"Пищевая промышленность";"Пищевая";"46.32";"Торговля оптовая мясом и мясными продуктами";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"169195890";"Закрытое акционерное общество «ВЕГУС»";"ЗАО «ВЕГУС»";"7719245080";"58538069";"Восточный административный округ";"район Соколиная Гора";"Мироновская улица, дом 33, строение 23";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"169195891";"Общество с ограниченной ответственностью «МПЗ«Москворецкий»";"ООО «МПЗ«Москворецкий»";"7724663372";"86499888";"Южный административный округ";"район Москворечье-Сабурово";"Котляковская улица, дом 3, строение 26";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"169195892";"Закрытое акционерное общество «ПАРТНЕР Ф»";"ЗАО «ПАРТНЕР Ф»";"7709239514";"18285635";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 15";"Пищевая промышленность";"Пищевая";"10.13.1";"Производство соленого, вареного, запеченого, копченого, вяленого и прочего мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"169195893";"Общество с ограниченной ответственностью «ММПЗ «КОЛОМЕНСКОЕ»";"ООО «ММПЗ «КОЛОМЕНСКОЕ»";"7725715993";"1847158";"Южный административный округ";"район Нагатино-Садовники";"проспект Андропова, дом 36, корпус 3, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"169195894";"Открытое акционерное общество «ОМПК»";"ОАО «ОМПК»";"7715034360";"425283";"Северо-Восточный административный округ";"Бутырский район";"Огородный проезд, дом 18, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"169195895";"Открытое акционерное общество «ЦАРИЦЫНО»";"ОАО «ЦАРИЦЫНО»";"7724017435";"17471666";"Южный административный округ";"район Царицыно";"Кавказский бульвар, дом 58, строение 1";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"169195896";"АКЦИОНЕРНОЕ ОБЩЕСТВО
«ЧЕРКИЗОВСКИЙ МЯСОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД»";"АО «ЧМПЗ»";"7718013714";"11510767";"Восточный административный округ";"район Метрогородок";"Пермская улица, дом 5, строение 1";"Пищевая промышленность";"Пищевая";"10.11";"Переработка и консервирование мяса";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"169195897";"Общество с ограниченной ответственностью «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"ООО «ДЫМОВСКОЕ КОЛБАСНОЕ ПРОИЗВОДСТВО»";"7731178578";"57084488";"Западный административный округ";"район Крылатское";"Крылатская улица, дом 37";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"10";"169195898";"Общество с ограниченной ответственностью «МПЗ «СЕТУНЬ»";"ООО «МПЗ «СЕТУНЬ»";"7731629559";"62110466";"Западный административный округ";"Можайский район";"улица Горбунова, дом 4, строение 3";"Пищевая промышленность";"Пищевая";"10.13";"Производство продукции из мяса убойных животных и мяса птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
